mpg,displacement,horsepower,weight,acceleration,year,name,origin_1,origin_2,origin_3,cylinders_4,cylinders_5,cylinders_6,cylinders_8
16.0,318.0,150,4190,13.0,76,dodge coronet brougham,True,False,False,False,False,False,True
15.5,304.0,120,3962,13.9,76,amc matador,True,False,False,False,False,False,True
14.5,351.0,152,4215,12.8,76,ford gran torino,True,False,False,False,False,False,True
22.0,225.0,100,3233,15.4,76,plymouth valiant,True,False,False,False,False,True,False
22.0,250.0,105,3353,14.5,76,chevrolet nova,True,False,False,False,False,True,False
24.0,200.0,81,3012,17.6,76,ford maverick,True,False,False,False,False,True,False
22.5,232.0,90,3085,17.6,76,amc hornet,True,False,False,False,False,True,False
29.0,85.0,52,2035,22.2,76,chevrolet chevette,True,False,False,True,False,False,False
24.5,98.0,60,2164,22.1,76,chevrolet woody,True,False,False,True,False,False,False
29.0,90.0,70,1937,14.2,76,vw rabbit,False,True,False,True,False,False,False
33.0,91.0,53,1795,17.4,76,honda civic,False,False,True,True,False,False,False
20.0,225.0,100,3651,17.7,76,dodge aspen se,True,False,False,False,False,True,False
18.0,250.0,78,3574,21.0,76,ford granada ghia,True,False,False,False,False,True,False
18.5,250.0,110,3645,16.2,76,pontiac ventura sj,True,False,False,False,False,True,False
17.5,258.0,95,3193,17.8,76,amc pacer d/l,True,False,False,False,False,True,False
29.5,97.0,71,1825,12.2,76,volkswagen rabbit,False,True,False,True,False,False,False
32.0,85.0,70,1990,17.0,76,datsun b-210,False,False,True,True,False,False,False
28.0,97.0,75,2155,16.4,76,toyota corolla,False,False,True,True,False,False,False
26.5,140.0,72,2565,13.6,76,ford pinto,True,False,False,True,False,False,False
20.0,130.0,102,3150,15.7,76,volvo 245,False,True,False,True,False,False,False
13.0,318.0,150,3940,13.2,76,plymouth volare premier v8,True,False,False,False,False,False,True
19.0,120.0,88,3270,21.9,76,peugeot 504,False,True,False,True,False,False,False
19.0,156.0,108,2930,15.5,76,toyota mark ii,False,False,True,False,False,True,False
16.5,350.0,180,4380,12.1,76,cadillac seville,True,False,False,False,False,False,True
13.0,350.0,145,4055,12.0,76,chevy c10,True,False,False,False,False,False,True
13.0,302.0,130,3870,15.0,76,ford f108,True,False,False,False,False,False,True
13.0,318.0,150,3755,14.0,76,dodge d100,True,False,False,False,False,False,True
31.5,98.0,68,2045,18.5,77,honda accord cvcc,False,False,True,True,False,False,False
30.0,111.0,80,2155,14.8,77,buick opel isuzu deluxe,True,False,False,True,False,False,False
36.0,79.0,58,1825,18.6,77,renault 5 gtl,False,True,False,True,False,False,False
25.5,122.0,96,2300,15.5,77,plymouth arrow gs,True,False,False,True,False,False,False
33.5,85.0,70,1945,16.8,77,datsun f-10 hatchback,False,False,True,True,False,False,False
17.5,305.0,145,3880,12.5,77,chevrolet caprice classic,True,False,False,False,False,False,True
15.5,318.0,145,4140,13.7,77,dodge monaco brougham,True,False,False,False,False,False,True
15.0,302.0,130,4295,14.9,77,mercury cougar brougham,True,False,False,False,False,False,True
17.5,250.0,110,3520,16.4,77,chevrolet concours,True,False,False,False,False,True,False
20.5,231.0,105,3425,16.9,77,buick skylark,True,False,False,False,False,True,False
19.0,225.0,100,3630,17.7,77,plymouth volare custom,True,False,False,False,False,True,False
18.5,250.0,98,3525,19.0,77,ford granada,True,False,False,False,False,True,False
16.0,400.0,180,4220,11.1,77,pontiac grand prix lj,True,False,False,False,False,False,True
15.5,350.0,170,4165,11.4,77,chevrolet monte carlo landau,True,False,False,False,False,False,True
15.5,400.0,190,4325,12.2,77,chrysler cordoba,True,False,False,False,False,False,True
16.0,351.0,149,4335,14.5,77,ford thunderbird,True,False,False,False,False,False,True
29.0,97.0,78,1940,14.5,77,volkswagen rabbit custom,False,True,False,True,False,False,False
24.5,151.0,88,2740,16.0,77,pontiac sunbird coupe,True,False,False,True,False,False,False
26.0,97.0,75,2265,18.2,77,toyota corolla liftback,False,False,True,True,False,False,False
25.5,140.0,89,2755,15.8,77,ford mustang ii 2+2,True,False,False,True,False,False,False
30.5,98.0,63,2051,17.0,77,chevrolet chevette,True,False,False,True,False,False,False
33.5,98.0,83,2075,15.9,77,dodge colt m/m,True,False,False,True,False,False,False
30.0,97.0,67,1985,16.4,77,subaru dl,False,False,True,True,False,False,False
30.5,97.0,78,2190,14.1,77,volkswagen dasher,False,True,False,True,False,False,False
22.0,146.0,97,2815,14.5,77,datsun 810,False,False,True,False,False,True,False
21.5,121.0,110,2600,12.8,77,bmw 320i,False,True,False,True,False,False,False
36.1,98.0,66,1800,14.4,78,ford fiesta,True,False,False,True,False,False,False
32.8,78.0,52,1985,19.4,78,mazda glc deluxe,False,False,True,True,False,False,False
39.4,85.0,70,2070,18.6,78,datsun b210 gx,False,False,True,True,False,False,False
36.1,91.0,60,1800,16.4,78,honda civic cvcc,False,False,True,True,False,False,False
19.9,260.0,110,3365,15.5,78,oldsmobile cutlass salon brougham,True,False,False,False,False,False,True
19.4,318.0,140,3735,13.2,78,dodge diplomat,True,False,False,False,False,False,True
20.2,302.0,139,3570,12.8,78,mercury monarch ghia,True,False,False,False,False,False,True
19.2,231.0,105,3535,19.2,78,pontiac phoenix lj,True,False,False,False,False,True,False
20.5,200.0,95,3155,18.2,78,chevrolet malibu,True,False,False,False,False,True,False
20.2,200.0,85,2965,15.8,78,ford fairmont (auto),True,False,False,False,False,True,False
25.1,140.0,88,2720,15.4,78,ford fairmont (man),True,False,False,True,False,False,False
20.5,225.0,100,3430,17.2,78,plymouth volare,True,False,False,False,False,True,False
19.4,232.0,90,3210,17.2,78,amc concord,True,False,False,False,False,True,False
20.6,231.0,105,3380,15.8,78,buick century special,True,False,False,False,False,True,False
20.8,200.0,85,3070,16.7,78,mercury zephyr,True,False,False,False,False,True,False
18.6,225.0,110,3620,18.7,78,dodge aspen,True,False,False,False,False,True,False
18.1,258.0,120,3410,15.1,78,amc concord d/l,True,False,False,False,False,True,False
19.2,305.0,145,3425,13.2,78,chevrolet monte carlo landau,True,False,False,False,False,False,True
18.1,302.0,139,3205,11.2,78,ford futura,True,False,False,False,False,False,True
17.5,318.0,140,4080,13.7,78,dodge magnum xe,True,False,False,False,False,False,True
30.0,98.0,68,2155,16.5,78,chevrolet chevette,True,False,False,True,False,False,False
27.5,134.0,95,2560,14.2,78,toyota corona,False,False,True,True,False,False,False
27.2,119.0,97,2300,14.7,78,datsun 510,False,False,True,True,False,False,False
30.9,105.0,75,2230,14.5,78,dodge omni,True,False,False,True,False,False,False
21.1,134.0,95,2515,14.8,78,toyota celica gt liftback,False,False,True,True,False,False,False
23.2,156.0,105,2745,16.7,78,plymouth sapporo,True,False,False,True,False,False,False
23.8,151.0,85,2855,17.6,78,oldsmobile starfire sx,True,False,False,True,False,False,False
23.9,119.0,97,2405,14.9,78,datsun 200-sx,False,False,True,True,False,False,False
20.3,131.0,103,2830,15.9,78,audi 5000,False,True,False,False,True,False,False
21.6,121.0,115,2795,15.7,78,saab 99gle,False,True,False,True,False,False,False
31.5,89.0,71,1990,14.9,78,volkswagen scirocco,False,True,False,True,False,False,False
29.5,98.0,68,2135,16.6,78,honda accord lx,False,False,True,True,False,False,False
21.5,231.0,115,3245,15.4,79,pontiac lemans v6,True,False,False,False,False,True,False
19.8,200.0,85,2990,18.2,79,mercury zephyr 6,True,False,False,False,False,True,False
22.3,140.0,88,2890,17.3,79,ford fairmont 4,True,False,False,True,False,False,False
20.2,232.0,90,3265,18.2,79,amc concord dl 6,True,False,False,False,False,True,False
20.6,225.0,110,3360,16.6,79,dodge aspen 6,True,False,False,False,False,True,False
17.0,305.0,130,3840,15.4,79,chevrolet caprice classic,True,False,False,False,False,False,True
17.6,302.0,129,3725,13.4,79,ford ltd landau,True,False,False,False,False,False,True
16.5,351.0,138,3955,13.2,79,mercury grand marquis,True,False,False,False,False,False,True
18.2,318.0,135,3830,15.2,79,dodge st. regis,True,False,False,False,False,False,True
16.9,350.0,155,4360,14.9,79,buick estate wagon (sw),True,False,False,False,False,False,True
15.5,351.0,142,4054,14.3,79,ford country squire (sw),True,False,False,False,False,False,True
19.2,267.0,125,3605,15.0,79,chevrolet malibu classic (sw),True,False,False,False,False,False,True
18.5,360.0,150,3940,13.0,79,chrysler lebaron town @ country (sw),True,False,False,False,False,False,True
31.9,89.0,71,1925,14.0,79,vw rabbit custom,False,True,False,True,False,False,False
34.1,86.0,65,1975,15.2,79,maxda glc deluxe,False,False,True,True,False,False,False
35.7,98.0,80,1915,14.4,79,dodge colt hatchback custom,True,False,False,True,False,False,False
27.4,121.0,80,2670,15.0,79,amc spirit dl,True,False,False,True,False,False,False
34.2,105.0,70,2200,13.2,79,plymouth horizon,True,False,False,True,False,False,False
34.5,105.0,70,2150,14.9,79,plymouth horizon tc3,True,False,False,True,False,False,False
31.8,85.0,65,2020,19.2,79,datsun 210,False,False,True,True,False,False,False
37.3,91.0,69,2130,14.7,79,fiat strada custom,False,True,False,True,False,False,False
28.4,151.0,90,2670,16.0,79,buick skylark limited,True,False,False,True,False,False,False
33.5,151.0,90,2556,13.2,79,pontiac phoenix,True,False,False,True,False,False,False
38.1,89.0,60,1968,18.8,80,toyota corolla tercel,False,False,True,True,False,False,False
32.1,98.0,70,2120,15.5,80,chevrolet chevette,True,False,False,True,False,False,False
37.2,86.0,65,2019,16.4,80,datsun 310,False,False,True,True,False,False,False
28.0,151.0,90,2678,16.5,80,chevrolet citation,True,False,False,True,False,False,False
26.4,140.0,88,2870,18.1,80,ford fairmont,True,False,False,True,False,False,False
24.3,151.0,90,3003,20.1,80,amc concord,True,False,False,True,False,False,False
19.1,225.0,90,3381,18.7,80,dodge aspen,True,False,False,False,False,True,False
34.3,97.0,78,2188,15.8,80,audi 4000,False,True,False,True,False,False,False
29.8,134.0,90,2711,15.5,80,toyota corona liftback,False,False,True,True,False,False,False
31.3,120.0,75,2542,17.5,80,mazda 626,False,False,True,True,False,False,False
37.0,119.0,92,2434,15.0,80,datsun 510 hatchback,False,False,True,True,False,False,False
32.2,108.0,75,2265,15.2,80,toyota corolla,False,False,True,True,False,False,False
27.9,156.0,105,2800,14.4,80,dodge colt,True,False,False,True,False,False,False
40.8,85.0,65,2110,19.2,80,datsun 210,False,False,True,True,False,False,False
36.4,121.0,67,2950,19.9,80,audi 5000s (diesel),False,True,False,False,True,False,False
30.0,146.0,67,3250,21.8,80,mercedes-benz 240d,False,True,False,True,False,False,False
44.6,91.0,67,1850,13.8,80,honda civic 1500 gl,False,False,True,True,False,False,False
33.8,97.0,67,2145,18.0,80,subaru dl,False,False,True,True,False,False,False
29.8,89.0,62,1845,15.3,80,vokswagen rabbit,False,True,False,True,False,False,False
35.0,122.0,88,2500,15.1,80,triumph tr7 coupe,False,True,False,True,False,False,False
32.4,107.0,72,2290,17.0,80,honda accord,False,False,True,True,False,False,False
27.2,135.0,84,2490,15.7,81,plymouth reliant,True,False,False,True,False,False,False
26.6,151.0,84,2635,16.4,81,buick skylark,True,False,False,True,False,False,False
25.8,156.0,92,2620,14.4,81,dodge aries wagon (sw),True,False,False,True,False,False,False
23.5,173.0,110,2725,12.6,81,chevrolet citation,True,False,False,False,False,True,False
30.0,135.0,84,2385,12.9,81,plymouth reliant,True,False,False,True,False,False,False
39.1,79.0,58,1755,16.9,81,toyota starlet,False,False,True,True,False,False,False
35.1,81.0,60,1760,16.1,81,honda civic 1300,False,False,True,True,False,False,False
32.3,97.0,67,2065,17.8,81,subaru,False,False,True,True,False,False,False
37.0,85.0,65,1975,19.4,81,datsun 210 mpg,False,False,True,True,False,False,False
37.7,89.0,62,2050,17.3,81,toyota tercel,False,False,True,True,False,False,False
34.1,91.0,68,1985,16.0,81,mazda glc 4,False,False,True,True,False,False,False
34.7,105.0,63,2215,14.9,81,plymouth horizon 4,True,False,False,True,False,False,False
34.4,98.0,65,2045,16.2,81,ford escort 4w,True,False,False,True,False,False,False
29.9,98.0,65,2380,20.7,81,ford escort 2h,True,False,False,True,False,False,False
33.0,105.0,74,2190,14.2,81,volkswagen jetta,False,True,False,True,False,False,False
33.7,107.0,75,2210,14.4,81,honda prelude,False,False,True,True,False,False,False
32.4,108.0,75,2350,16.8,81,toyota corolla,False,False,True,True,False,False,False
32.9,119.0,100,2615,14.8,81,datsun 200sx,False,False,True,True,False,False,False
31.6,120.0,74,2635,18.3,81,mazda 626,False,False,True,True,False,False,False
28.1,141.0,80,3230,20.4,81,peugeot 505s turbo diesel,False,True,False,True,False,False,False
24.2,146.0,120,2930,13.8,81,datsun 810 maxima,False,False,True,False,False,True,False
22.4,231.0,110,3415,15.8,81,buick century,True,False,False,False,False,True,False
20.2,200.0,88,3060,17.1,81,ford granada gl,True,False,False,False,False,True,False
17.6,225.0,85,3465,16.6,81,chrysler lebaron salon,True,False,False,False,False,True,False
28.0,112.0,88,2605,19.6,82,chevrolet cavalier,True,False,False,True,False,False,False
27.0,112.0,88,2640,18.6,82,chevrolet cavalier wagon,True,False,False,True,False,False,False
34.0,112.0,88,2395,18.0,82,chevrolet cavalier 2-door,True,False,False,True,False,False,False
31.0,112.0,85,2575,16.2,82,pontiac j2000 se hatchback,True,False,False,True,False,False,False
29.0,135.0,84,2525,16.0,82,dodge aries se,True,False,False,True,False,False,False
27.0,151.0,90,2735,18.0,82,pontiac phoenix,True,False,False,True,False,False,False
24.0,140.0,92,2865,16.4,82,ford fairmont futura,True,False,False,True,False,False,False
36.0,105.0,74,1980,15.3,82,volkswagen rabbit l,False,True,False,True,False,False,False
37.0,91.0,68,2025,18.2,82,mazda glc custom l,False,False,True,True,False,False,False
31.0,91.0,68,1970,17.6,82,mazda glc custom,False,False,True,True,False,False,False
36.0,98.0,70,2125,17.3,82,mercury lynx l,True,False,False,True,False,False,False
36.0,120.0,88,2160,14.5,82,nissan stanza xe,False,False,True,True,False,False,False
36.0,107.0,75,2205,14.5,82,honda accord,False,False,True,True,False,False,False
34.0,108.0,70,2245,16.9,82,toyota corolla,False,False,True,True,False,False,False
38.0,91.0,67,1965,15.0,82,honda civic,False,False,True,True,False,False,False
32.0,91.0,67,1965,15.7,82,honda civic (auto),False,False,True,True,False,False,False
38.0,91.0,67,1995,16.2,82,datsun 310 gx,False,False,True,True,False,False,False
25.0,181.0,110,2945,16.4,82,buick century limited,True,False,False,False,False,True,False
26.0,156.0,92,2585,14.5,82,chrysler lebaron medallion,True,False,False,True,False,False,False
22.0,232.0,112,2835,14.7,82,ford granada l,True,False,False,False,False,True,False
32.0,144.0,96,2665,13.9,82,toyota celica gt,False,False,True,True,False,False,False
36.0,135.0,84,2370,13.0,82,dodge charger 2.2,True,False,False,True,False,False,False
27.0,151.0,90,2950,17.3,82,chevrolet camaro,True,False,False,True,False,False,False
27.0,140.0,86,2790,15.6,82,ford mustang gl,True,False,False,True,False,False,False
32.0,135.0,84,2295,11.6,82,dodge rampage,True,False,False,True,False,False,False
28.0,120.0,79,2625,18.6,82,ford ranger,True,False,False,True,False,False,False
31.0,119.0,82,2720,19.4,82,chevy s-10,True,False,False,True,False,False,False
