mpg,cylinders,displacement,horsepower,weight,acceleration,year,name,origin_1,origin_2,origin_3
18.0,8,307.0,130,3504,12.0,70,chevrolet chevelle malibu,True,False,False
15.0,8,350.0,165,3693,11.5,70,buick skylark 320,True,False,False
18.0,8,318.0,150,3436,11.0,70,plymouth satellite,True,False,False
16.0,8,304.0,150,3433,12.0,70,amc rebel sst,True,False,False
17.0,8,302.0,140,3449,10.5,70,ford torino,True,False,False
15.0,8,429.0,198,4341,10.0,70,ford galaxie 500,True,False,False
14.0,8,454.0,220,4354,9.0,70,chevrolet impala,True,False,False
14.0,8,440.0,215,4312,8.5,70,plymouth fury iii,True,False,False
14.0,8,455.0,225,4425,10.0,70,pontiac catalina,True,False,False
15.0,8,390.0,190,3850,8.5,70,amc ambassador dpl,True,False,False
15.0,8,383.0,170,3563,10.0,70,dodge challenger se,True,False,False
14.0,8,340.0,160,3609,8.0,70,plymouth 'cuda 340,True,False,False
15.0,8,400.0,150,3761,9.5,70,chevrolet monte carlo,True,False,False
14.0,8,455.0,225,3086,10.0,70,buick estate wagon (sw),True,False,False
24.0,4,113.0,95,2372,15.0,70,toyota corona mark ii,False,False,True
22.0,6,198.0,95,2833,15.5,70,plymouth duster,True,False,False
18.0,6,199.0,97,2774,15.5,70,amc hornet,True,False,False
21.0,6,200.0,85,2587,16.0,70,ford maverick,True,False,False
27.0,4,97.0,88,2130,14.5,70,datsun pl510,False,False,True
26.0,4,97.0,46,1835,20.5,70,volkswagen 1131 deluxe sedan,False,True,False
25.0,4,110.0,87,2672,17.5,70,peugeot 504,False,True,False
24.0,4,107.0,90,2430,14.5,70,audi 100 ls,False,True,False
25.0,4,104.0,95,2375,17.5,70,saab 99e,False,True,False
26.0,4,121.0,113,2234,12.5,70,bmw 2002,False,True,False
21.0,6,199.0,90,2648,15.0,70,amc gremlin,True,False,False
10.0,8,360.0,215,4615,14.0,70,ford f250,True,False,False
10.0,8,307.0,200,4376,15.0,70,chevy c20,True,False,False
11.0,8,318.0,210,4382,13.5,70,dodge d200,True,False,False
9.0,8,304.0,193,4732,18.5,70,hi 1200d,True,False,False
27.0,4,97.0,88,2130,14.5,71,datsun pl510,False,False,True
28.0,4,140.0,90,2264,15.5,71,chevrolet vega 2300,True,False,False
25.0,4,113.0,95,2228,14.0,71,toyota corona,False,False,True
19.0,6,232.0,100,2634,13.0,71,amc gremlin,True,False,False
16.0,6,225.0,105,3439,15.5,71,plymouth satellite custom,True,False,False
17.0,6,250.0,100,3329,15.5,71,chevrolet chevelle malibu,True,False,False
19.0,6,250.0,88,3302,15.5,71,ford torino 500,True,False,False
18.0,6,232.0,100,3288,15.5,71,amc matador,True,False,False
14.0,8,350.0,165,4209,12.0,71,chevrolet impala,True,False,False
14.0,8,400.0,175,4464,11.5,71,pontiac catalina brougham,True,False,False
14.0,8,351.0,153,4154,13.5,71,ford galaxie 500,True,False,False
14.0,8,318.0,150,4096,13.0,71,plymouth fury iii,True,False,False
12.0,8,383.0,180,4955,11.5,71,dodge monaco (sw),True,False,False
13.0,8,400.0,170,4746,12.0,71,ford country squire (sw),True,False,False
13.0,8,400.0,175,5140,12.0,71,pontiac safari (sw),True,False,False
18.0,6,258.0,110,2962,13.5,71,amc hornet sportabout (sw),True,False,False
22.0,4,140.0,72,2408,19.0,71,chevrolet vega (sw),True,False,False
19.0,6,250.0,100,3282,15.0,71,pontiac firebird,True,False,False
18.0,6,250.0,88,3139,14.5,71,ford mustang,True,False,False
23.0,4,122.0,86,2220,14.0,71,mercury capri 2000,True,False,False
28.0,4,116.0,90,2123,14.0,71,opel 1900,False,True,False
30.0,4,79.0,70,2074,19.5,71,peugeot 304,False,True,False
30.0,4,88.0,76,2065,14.5,71,fiat 124b,False,True,False
31.0,4,71.0,65,1773,19.0,71,toyota corolla 1200,False,False,True
35.0,4,72.0,69,1613,18.0,71,datsun 1200,False,False,True
27.0,4,97.0,60,1834,19.0,71,volkswagen model 111,False,True,False
26.0,4,91.0,70,1955,20.5,71,plymouth cricket,True,False,False
24.0,4,113.0,95,2278,15.5,72,toyota corona hardtop,False,False,True
25.0,4,97.5,80,2126,17.0,72,dodge colt hardtop,True,False,False
23.0,4,97.0,54,2254,23.5,72,volkswagen type 3,False,True,False
20.0,4,140.0,90,2408,19.5,72,chevrolet vega,True,False,False
21.0,4,122.0,86,2226,16.5,72,ford pinto runabout,True,False,False
13.0,8,350.0,165,4274,12.0,72,chevrolet impala,True,False,False
14.0,8,400.0,175,4385,12.0,72,pontiac catalina,True,False,False
15.0,8,318.0,150,4135,13.5,72,plymouth fury iii,True,False,False
14.0,8,351.0,153,4129,13.0,72,ford galaxie 500,True,False,False
17.0,8,304.0,150,3672,11.5,72,amc ambassador sst,True,False,False
11.0,8,429.0,208,4633,11.0,72,mercury marquis,True,False,False
13.0,8,350.0,155,4502,13.5,72,buick lesabre custom,True,False,False
12.0,8,350.0,160,4456,13.5,72,oldsmobile delta 88 royale,True,False,False
13.0,8,400.0,190,4422,12.5,72,chrysler newport royal,True,False,False
15.0,8,304.0,150,3892,12.5,72,amc matador (sw),True,False,False
13.0,8,307.0,130,4098,14.0,72,chevrolet chevelle concours (sw),True,False,False
13.0,8,302.0,140,4294,16.0,72,ford gran torino (sw),True,False,False
14.0,8,318.0,150,4077,14.0,72,plymouth satellite custom (sw),True,False,False
18.0,4,121.0,112,2933,14.5,72,volvo 145e (sw),False,True,False
22.0,4,121.0,76,2511,18.0,72,volkswagen 411 (sw),False,True,False
21.0,4,120.0,87,2979,19.5,72,peugeot 504 (sw),False,True,False
26.0,4,96.0,69,2189,18.0,72,renault 12 (sw),False,True,False
22.0,4,122.0,86,2395,16.0,72,ford pinto (sw),True,False,False
28.0,4,97.0,92,2288,17.0,72,datsun 510 (sw),False,False,True
23.0,4,120.0,97,2506,14.5,72,toyouta corona mark ii (sw),False,False,True
28.0,4,98.0,80,2164,15.0,72,dodge colt (sw),True,False,False
27.0,4,97.0,88,2100,16.5,72,toyota corolla 1600 (sw),False,False,True
13.0,8,350.0,175,4100,13.0,73,buick century 350,True,False,False
14.0,8,304.0,150,3672,11.5,73,amc matador,True,False,False
13.0,8,350.0,145,3988,13.0,73,chevrolet malibu,True,False,False
14.0,8,302.0,137,4042,14.5,73,ford gran torino,True,False,False
15.0,8,318.0,150,3777,12.5,73,dodge coronet custom,True,False,False
12.0,8,429.0,198,4952,11.5,73,mercury marquis brougham,True,False,False
13.0,8,400.0,150,4464,12.0,73,chevrolet caprice classic,True,False,False
13.0,8,351.0,158,4363,13.0,73,ford ltd,True,False,False
14.0,8,318.0,150,4237,14.5,73,plymouth fury gran sedan,True,False,False
13.0,8,440.0,215,4735,11.0,73,chrysler new yorker brougham,True,False,False
12.0,8,455.0,225,4951,11.0,73,buick electra 225 custom,True,False,False
13.0,8,360.0,175,3821,11.0,73,amc ambassador brougham,True,False,False
18.0,6,225.0,105,3121,16.5,73,plymouth valiant,True,False,False
16.0,6,250.0,100,3278,18.0,73,chevrolet nova custom,True,False,False
18.0,6,232.0,100,2945,16.0,73,amc hornet,True,False,False
18.0,6,250.0,88,3021,16.5,73,ford maverick,True,False,False
23.0,6,198.0,95,2904,16.0,73,plymouth duster,True,False,False
26.0,4,97.0,46,1950,21.0,73,volkswagen super beetle,False,True,False
11.0,8,400.0,150,4997,14.0,73,chevrolet impala,True,False,False
12.0,8,400.0,167,4906,12.5,73,ford country,True,False,False
13.0,8,360.0,170,4654,13.0,73,plymouth custom suburb,True,False,False
12.0,8,350.0,180,4499,12.5,73,oldsmobile vista cruiser,True,False,False
18.0,6,232.0,100,2789,15.0,73,amc gremlin,True,False,False
20.0,4,97.0,88,2279,19.0,73,toyota carina,False,False,True
21.0,4,140.0,72,2401,19.5,73,chevrolet vega,True,False,False
22.0,4,108.0,94,2379,16.5,73,datsun 610,False,False,True
19.0,4,122.0,85,2310,18.5,73,ford pinto,True,False,False
21.0,6,155.0,107,2472,14.0,73,mercury capri v6,True,False,False
26.0,4,98.0,90,2265,15.5,73,fiat 124 sport coupe,False,True,False
15.0,8,350.0,145,4082,13.0,73,chevrolet monte carlo s,True,False,False
16.0,8,400.0,230,4278,9.5,73,pontiac grand prix,True,False,False
29.0,4,68.0,49,1867,19.5,73,fiat 128,False,True,False
24.0,4,116.0,75,2158,15.5,73,opel manta,False,True,False
20.0,4,114.0,91,2582,14.0,73,audi 100ls,False,True,False
19.0,4,121.0,112,2868,15.5,73,volvo 144ea,False,True,False
15.0,8,318.0,150,3399,11.0,73,dodge dart custom,True,False,False
24.0,4,121.0,110,2660,14.0,73,saab 99le,False,True,False
11.0,8,350.0,180,3664,11.0,73,oldsmobile omega,True,False,False
20.0,6,198.0,95,3102,16.5,74,plymouth duster,True,False,False
19.0,6,232.0,100,2901,16.0,74,amc hornet,True,False,False
15.0,6,250.0,100,3336,17.0,74,chevrolet nova,True,False,False
31.0,4,79.0,67,1950,19.0,74,datsun b210,False,False,True
26.0,4,122.0,80,2451,16.5,74,ford pinto,True,False,False
32.0,4,71.0,65,1836,21.0,74,toyota corolla 1200,False,False,True
25.0,4,140.0,75,2542,17.0,74,chevrolet vega,True,False,False
16.0,6,250.0,100,3781,17.0,74,chevrolet chevelle malibu classic,True,False,False
16.0,6,258.0,110,3632,18.0,74,amc matador,True,False,False
18.0,6,225.0,105,3613,16.5,74,plymouth satellite sebring,True,False,False
16.0,8,302.0,140,4141,14.0,74,ford gran torino,True,False,False
13.0,8,350.0,150,4699,14.5,74,buick century luxus (sw),True,False,False
14.0,8,318.0,150,4457,13.5,74,dodge coronet custom (sw),True,False,False
14.0,8,302.0,140,4638,16.0,74,ford gran torino (sw),True,False,False
14.0,8,304.0,150,4257,15.5,74,amc matador (sw),True,False,False
29.0,4,98.0,83,2219,16.5,74,audi fox,False,True,False
26.0,4,79.0,67,1963,15.5,74,volkswagen dasher,False,True,False
26.0,4,97.0,78,2300,14.5,74,opel manta,False,True,False
31.0,4,76.0,52,1649,16.5,74,toyota corona,False,False,True
32.0,4,83.0,61,2003,19.0,74,datsun 710,False,False,True
28.0,4,90.0,75,2125,14.5,74,dodge colt,True,False,False
24.0,4,90.0,75,2108,15.5,74,fiat 128,False,True,False
26.0,4,116.0,75,2246,14.0,74,fiat 124 tc,False,True,False
24.0,4,120.0,97,2489,15.0,74,honda civic,False,False,True
26.0,4,108.0,93,2391,15.5,74,subaru,False,False,True
31.0,4,79.0,67,2000,16.0,74,fiat x1.9,False,True,False
19.0,6,225.0,95,3264,16.0,75,plymouth valiant custom,True,False,False
18.0,6,250.0,105,3459,16.0,75,chevrolet nova,True,False,False
15.0,6,250.0,72,3432,21.0,75,mercury monarch,True,False,False
15.0,6,250.0,72,3158,19.5,75,ford maverick,True,False,False
16.0,8,400.0,170,4668,11.5,75,pontiac catalina,True,False,False
15.0,8,350.0,145,4440,14.0,75,chevrolet bel air,True,False,False
16.0,8,318.0,150,4498,14.5,75,plymouth grand fury,True,False,False
14.0,8,351.0,148,4657,13.5,75,ford ltd,True,False,False
17.0,6,231.0,110,3907,21.0,75,buick century,True,False,False
16.0,6,250.0,105,3897,18.5,75,chevroelt chevelle malibu,True,False,False
15.0,6,258.0,110,3730,19.0,75,amc matador,True,False,False
18.0,6,225.0,95,3785,19.0,75,plymouth fury,True,False,False
21.0,6,231.0,110,3039,15.0,75,buick skyhawk,True,False,False
20.0,8,262.0,110,3221,13.5,75,chevrolet monza 2+2,True,False,False
13.0,8,302.0,129,3169,12.0,75,ford mustang ii,True,False,False
29.0,4,97.0,75,2171,16.0,75,toyota corolla,False,False,True
23.0,4,140.0,83,2639,17.0,75,ford pinto,True,False,False
20.0,6,232.0,100,2914,16.0,75,amc gremlin,True,False,False
23.0,4,140.0,78,2592,18.5,75,pontiac astro,True,False,False
24.0,4,134.0,96,2702,13.5,75,toyota corona,False,False,True
25.0,4,90.0,71,2223,16.5,75,volkswagen dasher,False,True,False
24.0,4,119.0,97,2545,17.0,75,datsun 710,False,False,True
18.0,6,171.0,97,2984,14.5,75,ford pinto,True,False,False
29.0,4,90.0,70,1937,14.0,75,volkswagen rabbit,False,True,False
19.0,6,232.0,90,3211,17.0,75,amc pacer,True,False,False
23.0,4,115.0,95,2694,15.0,75,audi 100ls,False,True,False
23.0,4,120.0,88,2957,17.0,75,peugeot 504,False,True,False
22.0,4,121.0,98,2945,14.5,75,volvo 244dl,False,True,False
25.0,4,121.0,115,2671,13.5,75,saab 99le,False,True,False
33.0,4,91.0,53,1795,17.5,75,honda civic cvcc,False,False,True
28.0,4,107.0,86,2464,15.5,76,fiat 131,False,True,False
25.0,4,116.0,81,2220,16.9,76,opel 1900,False,True,False
25.0,4,140.0,92,2572,14.9,76,capri ii,True,False,False
26.0,4,98.0,79,2255,17.7,76,dodge colt,True,False,False
27.0,4,101.0,83,2202,15.3,76,renault 12tl,False,True,False
17.5,8,305.0,140,4215,13.0,76,chevrolet chevelle malibu classic,True,False,False
16.0,8,318.0,150,4190,13.0,76,dodge coronet brougham,True,False,False
15.5,8,304.0,120,3962,13.9,76,amc matador,True,False,False
14.5,8,351.0,152,4215,12.8,76,ford gran torino,True,False,False
22.0,6,225.0,100,3233,15.4,76,plymouth valiant,True,False,False
22.0,6,250.0,105,3353,14.5,76,chevrolet nova,True,False,False
24.0,6,200.0,81,3012,17.6,76,ford maverick,True,False,False
22.5,6,232.0,90,3085,17.6,76,amc hornet,True,False,False
29.0,4,85.0,52,2035,22.2,76,chevrolet chevette,True,False,False
24.5,4,98.0,60,2164,22.1,76,chevrolet woody,True,False,False
29.0,4,90.0,70,1937,14.2,76,vw rabbit,False,True,False
33.0,4,91.0,53,1795,17.4,76,honda civic,False,False,True
20.0,6,225.0,100,3651,17.7,76,dodge aspen se,True,False,False
18.0,6,250.0,78,3574,21.0,76,ford granada ghia,True,False,False
18.5,6,250.0,110,3645,16.2,76,pontiac ventura sj,True,False,False
17.5,6,258.0,95,3193,17.8,76,amc pacer d/l,True,False,False
29.5,4,97.0,71,1825,12.2,76,volkswagen rabbit,False,True,False
32.0,4,85.0,70,1990,17.0,76,datsun b-210,False,False,True
28.0,4,97.0,75,2155,16.4,76,toyota corolla,False,False,True
26.5,4,140.0,72,2565,13.6,76,ford pinto,True,False,False
20.0,4,130.0,102,3150,15.7,76,volvo 245,False,True,False
13.0,8,318.0,150,3940,13.2,76,plymouth volare premier v8,True,False,False
19.0,4,120.0,88,3270,21.9,76,peugeot 504,False,True,False
16.5,8,350.0,180,4380,12.1,76,cadillac seville,True,False,False
13.0,8,350.0,145,4055,12.0,76,chevy c10,True,False,False
13.0,8,302.0,130,3870,15.0,76,ford f108,True,False,False
13.0,8,318.0,150,3755,14.0,76,dodge d100,True,False,False
31.5,4,98.0,68,2045,18.5,77,honda accord cvcc,False,False,True
30.0,4,111.0,80,2155,14.8,77,buick opel isuzu deluxe,True,False,False
36.0,4,79.0,58,1825,18.6,77,renault 5 gtl,False,True,False
25.5,4,122.0,96,2300,15.5,77,plymouth arrow gs,True,False,False
33.5,4,85.0,70,1945,16.8,77,datsun f-10 hatchback,False,False,True
17.5,8,305.0,145,3880,12.5,77,chevrolet caprice classic,True,False,False
17.0,8,260.0,110,4060,19.0,77,oldsmobile cutlass supreme,True,False,False
15.5,8,318.0,145,4140,13.7,77,dodge monaco brougham,True,False,False
15.0,8,302.0,130,4295,14.9,77,mercury cougar brougham,True,False,False
17.5,6,250.0,110,3520,16.4,77,chevrolet concours,True,False,False
20.5,6,231.0,105,3425,16.9,77,buick skylark,True,False,False
19.0,6,225.0,100,3630,17.7,77,plymouth volare custom,True,False,False
18.5,6,250.0,98,3525,19.0,77,ford granada,True,False,False
16.0,8,400.0,180,4220,11.1,77,pontiac grand prix lj,True,False,False
15.5,8,350.0,170,4165,11.4,77,chevrolet monte carlo landau,True,False,False
15.5,8,400.0,190,4325,12.2,77,chrysler cordoba,True,False,False
16.0,8,351.0,149,4335,14.5,77,ford thunderbird,True,False,False
29.0,4,97.0,78,1940,14.5,77,volkswagen rabbit custom,False,True,False
24.5,4,151.0,88,2740,16.0,77,pontiac sunbird coupe,True,False,False
26.0,4,97.0,75,2265,18.2,77,toyota corolla liftback,False,False,True
25.5,4,140.0,89,2755,15.8,77,ford mustang ii 2+2,True,False,False
30.5,4,98.0,63,2051,17.0,77,chevrolet chevette,True,False,False
33.5,4,98.0,83,2075,15.9,77,dodge colt m/m,True,False,False
30.0,4,97.0,67,1985,16.4,77,subaru dl,False,False,True
30.5,4,97.0,78,2190,14.1,77,volkswagen dasher,False,True,False
21.5,4,121.0,110,2600,12.8,77,bmw 320i,False,True,False
36.1,4,98.0,66,1800,14.4,78,ford fiesta,True,False,False
32.8,4,78.0,52,1985,19.4,78,mazda glc deluxe,False,False,True
39.4,4,85.0,70,2070,18.6,78,datsun b210 gx,False,False,True
36.1,4,91.0,60,1800,16.4,78,honda civic cvcc,False,False,True
19.9,8,260.0,110,3365,15.5,78,oldsmobile cutlass salon brougham,True,False,False
19.4,8,318.0,140,3735,13.2,78,dodge diplomat,True,False,False
20.2,8,302.0,139,3570,12.8,78,mercury monarch ghia,True,False,False
19.2,6,231.0,105,3535,19.2,78,pontiac phoenix lj,True,False,False
20.5,6,200.0,95,3155,18.2,78,chevrolet malibu,True,False,False
20.2,6,200.0,85,2965,15.8,78,ford fairmont (auto),True,False,False
25.1,4,140.0,88,2720,15.4,78,ford fairmont (man),True,False,False
20.5,6,225.0,100,3430,17.2,78,plymouth volare,True,False,False
19.4,6,232.0,90,3210,17.2,78,amc concord,True,False,False
20.6,6,231.0,105,3380,15.8,78,buick century special,True,False,False
20.8,6,200.0,85,3070,16.7,78,mercury zephyr,True,False,False
18.6,6,225.0,110,3620,18.7,78,dodge aspen,True,False,False
18.1,6,258.0,120,3410,15.1,78,amc concord d/l,True,False,False
19.2,8,305.0,145,3425,13.2,78,chevrolet monte carlo landau,True,False,False
17.7,6,231.0,165,3445,13.4,78,buick regal sport coupe (turbo),True,False,False
18.1,8,302.0,139,3205,11.2,78,ford futura,True,False,False
17.5,8,318.0,140,4080,13.7,78,dodge magnum xe,True,False,False
30.0,4,98.0,68,2155,16.5,78,chevrolet chevette,True,False,False
27.5,4,134.0,95,2560,14.2,78,toyota corona,False,False,True
27.2,4,119.0,97,2300,14.7,78,datsun 510,False,False,True
30.9,4,105.0,75,2230,14.5,78,dodge omni,True,False,False
21.1,4,134.0,95,2515,14.8,78,toyota celica gt liftback,False,False,True
23.2,4,156.0,105,2745,16.7,78,plymouth sapporo,True,False,False
23.8,4,151.0,85,2855,17.6,78,oldsmobile starfire sx,True,False,False
23.9,4,119.0,97,2405,14.9,78,datsun 200-sx,False,False,True
21.6,4,121.0,115,2795,15.7,78,saab 99gle,False,True,False
31.5,4,89.0,71,1990,14.9,78,volkswagen scirocco,False,True,False
29.5,4,98.0,68,2135,16.6,78,honda accord lx,False,False,True
21.5,6,231.0,115,3245,15.4,79,pontiac lemans v6,True,False,False
19.8,6,200.0,85,2990,18.2,79,mercury zephyr 6,True,False,False
22.3,4,140.0,88,2890,17.3,79,ford fairmont 4,True,False,False
20.2,6,232.0,90,3265,18.2,79,amc concord dl 6,True,False,False
20.6,6,225.0,110,3360,16.6,79,dodge aspen 6,True,False,False
17.0,8,305.0,130,3840,15.4,79,chevrolet caprice classic,True,False,False
17.6,8,302.0,129,3725,13.4,79,ford ltd landau,True,False,False
16.5,8,351.0,138,3955,13.2,79,mercury grand marquis,True,False,False
18.2,8,318.0,135,3830,15.2,79,dodge st. regis,True,False,False
16.9,8,350.0,155,4360,14.9,79,buick estate wagon (sw),True,False,False
15.5,8,351.0,142,4054,14.3,79,ford country squire (sw),True,False,False
19.2,8,267.0,125,3605,15.0,79,chevrolet malibu classic (sw),True,False,False
18.5,8,360.0,150,3940,13.0,79,chrysler lebaron town @ country (sw),True,False,False
31.9,4,89.0,71,1925,14.0,79,vw rabbit custom,False,True,False
34.1,4,86.0,65,1975,15.2,79,maxda glc deluxe,False,False,True
35.7,4,98.0,80,1915,14.4,79,dodge colt hatchback custom,True,False,False
27.4,4,121.0,80,2670,15.0,79,amc spirit dl,True,False,False
23.0,8,350.0,125,3900,17.4,79,cadillac eldorado,True,False,False
27.2,4,141.0,71,3190,24.8,79,peugeot 504,False,True,False
23.9,8,260.0,90,3420,22.2,79,oldsmobile cutlass salon brougham,True,False,False
34.2,4,105.0,70,2200,13.2,79,plymouth horizon,True,False,False
34.5,4,105.0,70,2150,14.9,79,plymouth horizon tc3,True,False,False
31.8,4,85.0,65,2020,19.2,79,datsun 210,False,False,True
37.3,4,91.0,69,2130,14.7,79,fiat strada custom,False,True,False
28.4,4,151.0,90,2670,16.0,79,buick skylark limited,True,False,False
28.8,6,173.0,115,2595,11.3,79,chevrolet citation,True,False,False
26.8,6,173.0,115,2700,12.9,79,oldsmobile omega brougham,True,False,False
33.5,4,151.0,90,2556,13.2,79,pontiac phoenix,True,False,False
38.1,4,89.0,60,1968,18.8,80,toyota corolla tercel,False,False,True
32.1,4,98.0,70,2120,15.5,80,chevrolet chevette,True,False,False
37.2,4,86.0,65,2019,16.4,80,datsun 310,False,False,True
28.0,4,151.0,90,2678,16.5,80,chevrolet citation,True,False,False
26.4,4,140.0,88,2870,18.1,80,ford fairmont,True,False,False
24.3,4,151.0,90,3003,20.1,80,amc concord,True,False,False
19.1,6,225.0,90,3381,18.7,80,dodge aspen,True,False,False
34.3,4,97.0,78,2188,15.8,80,audi 4000,False,True,False
29.8,4,134.0,90,2711,15.5,80,toyota corona liftback,False,False,True
31.3,4,120.0,75,2542,17.5,80,mazda 626,False,False,True
37.0,4,119.0,92,2434,15.0,80,datsun 510 hatchback,False,False,True
32.2,4,108.0,75,2265,15.2,80,toyota corolla,False,False,True
27.9,4,156.0,105,2800,14.4,80,dodge colt,True,False,False
40.8,4,85.0,65,2110,19.2,80,datsun 210,False,False,True
30.0,4,146.0,67,3250,21.8,80,mercedes-benz 240d,False,True,False
44.6,4,91.0,67,1850,13.8,80,honda civic 1500 gl,False,False,True
33.8,4,97.0,67,2145,18.0,80,subaru dl,False,False,True
29.8,4,89.0,62,1845,15.3,80,vokswagen rabbit,False,True,False
35.0,4,122.0,88,2500,15.1,80,triumph tr7 coupe,False,True,False
32.4,4,107.0,72,2290,17.0,80,honda accord,False,False,True
27.2,4,135.0,84,2490,15.7,81,plymouth reliant,True,False,False
26.6,4,151.0,84,2635,16.4,81,buick skylark,True,False,False
25.8,4,156.0,92,2620,14.4,81,dodge aries wagon (sw),True,False,False
23.5,6,173.0,110,2725,12.6,81,chevrolet citation,True,False,False
30.0,4,135.0,84,2385,12.9,81,plymouth reliant,True,False,False
39.1,4,79.0,58,1755,16.9,81,toyota starlet,False,False,True
35.1,4,81.0,60,1760,16.1,81,honda civic 1300,False,False,True
32.3,4,97.0,67,2065,17.8,81,subaru,False,False,True
37.0,4,85.0,65,1975,19.4,81,datsun 210 mpg,False,False,True
37.7,4,89.0,62,2050,17.3,81,toyota tercel,False,False,True
34.1,4,91.0,68,1985,16.0,81,mazda glc 4,False,False,True
34.7,4,105.0,63,2215,14.9,81,plymouth horizon 4,True,False,False
34.4,4,98.0,65,2045,16.2,81,ford escort 4w,True,False,False
29.9,4,98.0,65,2380,20.7,81,ford escort 2h,True,False,False
33.0,4,105.0,74,2190,14.2,81,volkswagen jetta,False,True,False
33.7,4,107.0,75,2210,14.4,81,honda prelude,False,False,True
32.4,4,108.0,75,2350,16.8,81,toyota corolla,False,False,True
32.9,4,119.0,100,2615,14.8,81,datsun 200sx,False,False,True
31.6,4,120.0,74,2635,18.3,81,mazda 626,False,False,True
28.1,4,141.0,80,3230,20.4,81,peugeot 505s turbo diesel,False,True,False
22.4,6,231.0,110,3415,15.8,81,buick century,True,False,False
26.6,8,350.0,105,3725,19.0,81,oldsmobile cutlass ls,True,False,False
20.2,6,200.0,88,3060,17.1,81,ford granada gl,True,False,False
17.6,6,225.0,85,3465,16.6,81,chrysler lebaron salon,True,False,False
28.0,4,112.0,88,2605,19.6,82,chevrolet cavalier,True,False,False
27.0,4,112.0,88,2640,18.6,82,chevrolet cavalier wagon,True,False,False
34.0,4,112.0,88,2395,18.0,82,chevrolet cavalier 2-door,True,False,False
31.0,4,112.0,85,2575,16.2,82,pontiac j2000 se hatchback,True,False,False
29.0,4,135.0,84,2525,16.0,82,dodge aries se,True,False,False
27.0,4,151.0,90,2735,18.0,82,pontiac phoenix,True,False,False
24.0,4,140.0,92,2865,16.4,82,ford fairmont futura,True,False,False
36.0,4,105.0,74,1980,15.3,82,volkswagen rabbit l,False,True,False
37.0,4,91.0,68,2025,18.2,82,mazda glc custom l,False,False,True
31.0,4,91.0,68,1970,17.6,82,mazda glc custom,False,False,True
36.0,4,98.0,70,2125,17.3,82,mercury lynx l,True,False,False
36.0,4,120.0,88,2160,14.5,82,nissan stanza xe,False,False,True
36.0,4,107.0,75,2205,14.5,82,honda accord,False,False,True
34.0,4,108.0,70,2245,16.9,82,toyota corolla,False,False,True
38.0,4,91.0,67,1965,15.0,82,honda civic,False,False,True
32.0,4,91.0,67,1965,15.7,82,honda civic (auto),False,False,True
38.0,4,91.0,67,1995,16.2,82,datsun 310 gx,False,False,True
25.0,6,181.0,110,2945,16.4,82,buick century limited,True,False,False
26.0,4,156.0,92,2585,14.5,82,chrysler lebaron medallion,True,False,False
22.0,6,232.0,112,2835,14.7,82,ford granada l,True,False,False
32.0,4,144.0,96,2665,13.9,82,toyota celica gt,False,False,True
36.0,4,135.0,84,2370,13.0,82,dodge charger 2.2,True,False,False
27.0,4,151.0,90,2950,17.3,82,chevrolet camaro,True,False,False
27.0,4,140.0,86,2790,15.6,82,ford mustang gl,True,False,False
32.0,4,135.0,84,2295,11.6,82,dodge rampage,True,False,False
28.0,4,120.0,79,2625,18.6,82,ford ranger,True,False,False
31.0,4,119.0,82,2720,19.4,82,chevy s-10,True,False,False
