name,mpg,displacement,horsepower,weight,acceleration,year,cylinders_4,cylinders_5,cylinders_6,cylinders_8,origin_1,origin_2,origin_3
chevrolet chevelle malibu,18.0,307.0,130,3504,12.0,70,False,False,False,True,True,False,False
buick skylark 320,15.0,350.0,165,3693,11.5,70,False,False,False,True,True,False,False
plymouth satellite,18.0,318.0,150,3436,11.0,70,False,False,False,True,True,False,False
amc rebel sst,16.0,304.0,150,3433,12.0,70,False,False,False,True,True,False,False
ford torino,17.0,302.0,140,3449,10.5,70,False,False,False,True,True,False,False
ford galaxie 500,15.0,429.0,198,4341,10.0,70,False,False,False,True,True,False,False
plymouth fury iii,14.0,440.0,215,4312,8.5,70,False,False,False,True,True,False,False
amc ambassador dpl,15.0,390.0,190,3850,8.5,70,False,False,False,True,True,False,False
dodge challenger se,15.0,383.0,170,3563,10.0,70,False,False,False,True,True,False,False
plymouth 'cuda 340,14.0,340.0,160,3609,8.0,70,False,False,False,True,True,False,False
chevrolet monte carlo,15.0,400.0,150,3761,9.5,70,False,False,False,True,True,False,False
toyota corona mark ii,24.0,113.0,95,2372,15.0,70,True,False,False,False,False,False,True
plymouth duster,22.0,198.0,95,2833,15.5,70,False,False,True,False,True,False,False
amc hornet,18.0,199.0,97,2774,15.5,70,False,False,True,False,True,False,False
ford maverick,21.0,200.0,85,2587,16.0,70,False,False,True,False,True,False,False
datsun pl510,27.0,97.0,88,2130,14.5,70,True,False,False,False,False,False,True
volkswagen 1131 deluxe sedan,26.0,97.0,46,1835,20.5,70,True,False,False,False,False,True,False
peugeot 504,25.0,110.0,87,2672,17.5,70,True,False,False,False,False,True,False
audi 100 ls,24.0,107.0,90,2430,14.5,70,True,False,False,False,False,True,False
saab 99e,25.0,104.0,95,2375,17.5,70,True,False,False,False,False,True,False
bmw 2002,26.0,121.0,113,2234,12.5,70,True,False,False,False,False,True,False
amc gremlin,21.0,199.0,90,2648,15.0,70,False,False,True,False,True,False,False
ford f250,10.0,360.0,215,4615,14.0,70,False,False,False,True,True,False,False
chevy c20,10.0,307.0,200,4376,15.0,70,False,False,False,True,True,False,False
dodge d200,11.0,318.0,210,4382,13.5,70,False,False,False,True,True,False,False
datsun pl510,27.0,97.0,88,2130,14.5,71,True,False,False,False,False,False,True
chevrolet vega 2300,28.0,140.0,90,2264,15.5,71,True,False,False,False,True,False,False
toyota corona,25.0,113.0,95,2228,14.0,71,True,False,False,False,False,False,True
amc gremlin,19.0,232.0,100,2634,13.0,71,False,False,True,False,True,False,False
plymouth satellite custom,16.0,225.0,105,3439,15.5,71,False,False,True,False,True,False,False
chevrolet chevelle malibu,17.0,250.0,100,3329,15.5,71,False,False,True,False,True,False,False
ford torino 500,19.0,250.0,88,3302,15.5,71,False,False,True,False,True,False,False
amc matador,18.0,232.0,100,3288,15.5,71,False,False,True,False,True,False,False
chevrolet impala,14.0,350.0,165,4209,12.0,71,False,False,False,True,True,False,False
pontiac catalina brougham,14.0,400.0,175,4464,11.5,71,False,False,False,True,True,False,False
ford galaxie 500,14.0,351.0,153,4154,13.5,71,False,False,False,True,True,False,False
plymouth fury iii,14.0,318.0,150,4096,13.0,71,False,False,False,True,True,False,False
dodge monaco (sw),12.0,383.0,180,4955,11.5,71,False,False,False,True,True,False,False
ford country squire (sw),13.0,400.0,170,4746,12.0,71,False,False,False,True,True,False,False
pontiac safari (sw),13.0,400.0,175,5140,12.0,71,False,False,False,True,True,False,False
amc hornet sportabout (sw),18.0,258.0,110,2962,13.5,71,False,False,True,False,True,False,False
chevrolet vega (sw),22.0,140.0,72,2408,19.0,71,True,False,False,False,True,False,False
pontiac firebird,19.0,250.0,100,3282,15.0,71,False,False,True,False,True,False,False
ford mustang,18.0,250.0,88,3139,14.5,71,False,False,True,False,True,False,False
mercury capri 2000,23.0,122.0,86,2220,14.0,71,True,False,False,False,True,False,False
opel 1900,28.0,116.0,90,2123,14.0,71,True,False,False,False,False,True,False
peugeot 304,30.0,79.0,70,2074,19.5,71,True,False,False,False,False,True,False
fiat 124b,30.0,88.0,76,2065,14.5,71,True,False,False,False,False,True,False
toyota corolla 1200,31.0,71.0,65,1773,19.0,71,True,False,False,False,False,False,True
datsun 1200,35.0,72.0,69,1613,18.0,71,True,False,False,False,False,False,True
volkswagen model 111,27.0,97.0,60,1834,19.0,71,True,False,False,False,False,True,False
plymouth cricket,26.0,91.0,70,1955,20.5,71,True,False,False,False,True,False,False
toyota corona hardtop,24.0,113.0,95,2278,15.5,72,True,False,False,False,False,False,True
dodge colt hardtop,25.0,97.5,80,2126,17.0,72,True,False,False,False,True,False,False
chevrolet vega,20.0,140.0,90,2408,19.5,72,True,False,False,False,True,False,False
ford pinto runabout,21.0,122.0,86,2226,16.5,72,True,False,False,False,True,False,False
chevrolet impala,13.0,350.0,165,4274,12.0,72,False,False,False,True,True,False,False
pontiac catalina,14.0,400.0,175,4385,12.0,72,False,False,False,True,True,False,False
plymouth fury iii,15.0,318.0,150,4135,13.5,72,False,False,False,True,True,False,False
ford galaxie 500,14.0,351.0,153,4129,13.0,72,False,False,False,True,True,False,False
amc ambassador sst,17.0,304.0,150,3672,11.5,72,False,False,False,True,True,False,False
mercury marquis,11.0,429.0,208,4633,11.0,72,False,False,False,True,True,False,False
buick lesabre custom,13.0,350.0,155,4502,13.5,72,False,False,False,True,True,False,False
oldsmobile delta 88 royale,12.0,350.0,160,4456,13.5,72,False,False,False,True,True,False,False
chrysler newport royal,13.0,400.0,190,4422,12.5,72,False,False,False,True,True,False,False
amc matador (sw),15.0,304.0,150,3892,12.5,72,False,False,False,True,True,False,False
chevrolet chevelle concours (sw),13.0,307.0,130,4098,14.0,72,False,False,False,True,True,False,False
ford gran torino (sw),13.0,302.0,140,4294,16.0,72,False,False,False,True,True,False,False
plymouth satellite custom (sw),14.0,318.0,150,4077,14.0,72,False,False,False,True,True,False,False
volvo 145e (sw),18.0,121.0,112,2933,14.5,72,True,False,False,False,False,True,False
volkswagen 411 (sw),22.0,121.0,76,2511,18.0,72,True,False,False,False,False,True,False
peugeot 504 (sw),21.0,120.0,87,2979,19.5,72,True,False,False,False,False,True,False
renault 12 (sw),26.0,96.0,69,2189,18.0,72,True,False,False,False,False,True,False
ford pinto (sw),22.0,122.0,86,2395,16.0,72,True,False,False,False,True,False,False
datsun 510 (sw),28.0,97.0,92,2288,17.0,72,True,False,False,False,False,False,True
toyouta corona mark ii (sw),23.0,120.0,97,2506,14.5,72,True,False,False,False,False,False,True
dodge colt (sw),28.0,98.0,80,2164,15.0,72,True,False,False,False,True,False,False
toyota corolla 1600 (sw),27.0,97.0,88,2100,16.5,72,True,False,False,False,False,False,True
buick century 350,13.0,350.0,175,4100,13.0,73,False,False,False,True,True,False,False
amc matador,14.0,304.0,150,3672,11.5,73,False,False,False,True,True,False,False
chevrolet malibu,13.0,350.0,145,3988,13.0,73,False,False,False,True,True,False,False
ford gran torino,14.0,302.0,137,4042,14.5,73,False,False,False,True,True,False,False
dodge coronet custom,15.0,318.0,150,3777,12.5,73,False,False,False,True,True,False,False
mercury marquis brougham,12.0,429.0,198,4952,11.5,73,False,False,False,True,True,False,False
chevrolet caprice classic,13.0,400.0,150,4464,12.0,73,False,False,False,True,True,False,False
ford ltd,13.0,351.0,158,4363,13.0,73,False,False,False,True,True,False,False
plymouth fury gran sedan,14.0,318.0,150,4237,14.5,73,False,False,False,True,True,False,False
chrysler new yorker brougham,13.0,440.0,215,4735,11.0,73,False,False,False,True,True,False,False
amc ambassador brougham,13.0,360.0,175,3821,11.0,73,False,False,False,True,True,False,False
plymouth valiant,18.0,225.0,105,3121,16.5,73,False,False,True,False,True,False,False
chevrolet nova custom,16.0,250.0,100,3278,18.0,73,False,False,True,False,True,False,False
amc hornet,18.0,232.0,100,2945,16.0,73,False,False,True,False,True,False,False
ford maverick,18.0,250.0,88,3021,16.5,73,False,False,True,False,True,False,False
plymouth duster,23.0,198.0,95,2904,16.0,73,False,False,True,False,True,False,False
volkswagen super beetle,26.0,97.0,46,1950,21.0,73,True,False,False,False,False,True,False
chevrolet impala,11.0,400.0,150,4997,14.0,73,False,False,False,True,True,False,False
ford country,12.0,400.0,167,4906,12.5,73,False,False,False,True,True,False,False
plymouth custom suburb,13.0,360.0,170,4654,13.0,73,False,False,False,True,True,False,False
oldsmobile vista cruiser,12.0,350.0,180,4499,12.5,73,False,False,False,True,True,False,False
amc gremlin,18.0,232.0,100,2789,15.0,73,False,False,True,False,True,False,False
toyota carina,20.0,97.0,88,2279,19.0,73,True,False,False,False,False,False,True
chevrolet vega,21.0,140.0,72,2401,19.5,73,True,False,False,False,True,False,False
datsun 610,22.0,108.0,94,2379,16.5,73,True,False,False,False,False,False,True
ford pinto,19.0,122.0,85,2310,18.5,73,True,False,False,False,True,False,False
mercury capri v6,21.0,155.0,107,2472,14.0,73,False,False,True,False,True,False,False
fiat 124 sport coupe,26.0,98.0,90,2265,15.5,73,True,False,False,False,False,True,False
chevrolet monte carlo s,15.0,350.0,145,4082,13.0,73,False,False,False,True,True,False,False
fiat 128,29.0,68.0,49,1867,19.5,73,True,False,False,False,False,True,False
opel manta,24.0,116.0,75,2158,15.5,73,True,False,False,False,False,True,False
audi 100ls,20.0,114.0,91,2582,14.0,73,True,False,False,False,False,True,False
volvo 144ea,19.0,121.0,112,2868,15.5,73,True,False,False,False,False,True,False
dodge dart custom,15.0,318.0,150,3399,11.0,73,False,False,False,True,True,False,False
saab 99le,24.0,121.0,110,2660,14.0,73,True,False,False,False,False,True,False
toyota mark ii,20.0,156.0,122,2807,13.5,73,False,False,True,False,False,False,True
oldsmobile omega,11.0,350.0,180,3664,11.0,73,False,False,False,True,True,False,False
plymouth duster,20.0,198.0,95,3102,16.5,74,False,False,True,False,True,False,False
amc hornet,19.0,232.0,100,2901,16.0,74,False,False,True,False,True,False,False
chevrolet nova,15.0,250.0,100,3336,17.0,74,False,False,True,False,True,False,False
datsun b210,31.0,79.0,67,1950,19.0,74,True,False,False,False,False,False,True
ford pinto,26.0,122.0,80,2451,16.5,74,True,False,False,False,True,False,False
toyota corolla 1200,32.0,71.0,65,1836,21.0,74,True,False,False,False,False,False,True
chevrolet vega,25.0,140.0,75,2542,17.0,74,True,False,False,False,True,False,False
chevrolet chevelle malibu classic,16.0,250.0,100,3781,17.0,74,False,False,True,False,True,False,False
amc matador,16.0,258.0,110,3632,18.0,74,False,False,True,False,True,False,False
plymouth satellite sebring,18.0,225.0,105,3613,16.5,74,False,False,True,False,True,False,False
ford gran torino,16.0,302.0,140,4141,14.0,74,False,False,False,True,True,False,False
buick century luxus (sw),13.0,350.0,150,4699,14.5,74,False,False,False,True,True,False,False
dodge coronet custom (sw),14.0,318.0,150,4457,13.5,74,False,False,False,True,True,False,False
ford gran torino (sw),14.0,302.0,140,4638,16.0,74,False,False,False,True,True,False,False
amc matador (sw),14.0,304.0,150,4257,15.5,74,False,False,False,True,True,False,False
audi fox,29.0,98.0,83,2219,16.5,74,True,False,False,False,False,True,False
volkswagen dasher,26.0,79.0,67,1963,15.5,74,True,False,False,False,False,True,False
opel manta,26.0,97.0,78,2300,14.5,74,True,False,False,False,False,True,False
toyota corona,31.0,76.0,52,1649,16.5,74,True,False,False,False,False,False,True
datsun 710,32.0,83.0,61,2003,19.0,74,True,False,False,False,False,False,True
dodge colt,28.0,90.0,75,2125,14.5,74,True,False,False,False,True,False,False
fiat 128,24.0,90.0,75,2108,15.5,74,True,False,False,False,False,True,False
fiat 124 tc,26.0,116.0,75,2246,14.0,74,True,False,False,False,False,True,False
honda civic,24.0,120.0,97,2489,15.0,74,True,False,False,False,False,False,True
subaru,26.0,108.0,93,2391,15.5,74,True,False,False,False,False,False,True
fiat x1.9,31.0,79.0,67,2000,16.0,74,True,False,False,False,False,True,False
plymouth valiant custom,19.0,225.0,95,3264,16.0,75,False,False,True,False,True,False,False
chevrolet nova,18.0,250.0,105,3459,16.0,75,False,False,True,False,True,False,False
mercury monarch,15.0,250.0,72,3432,21.0,75,False,False,True,False,True,False,False
ford maverick,15.0,250.0,72,3158,19.5,75,False,False,True,False,True,False,False
pontiac catalina,16.0,400.0,170,4668,11.5,75,False,False,False,True,True,False,False
chevrolet bel air,15.0,350.0,145,4440,14.0,75,False,False,False,True,True,False,False
plymouth grand fury,16.0,318.0,150,4498,14.5,75,False,False,False,True,True,False,False
ford ltd,14.0,351.0,148,4657,13.5,75,False,False,False,True,True,False,False
buick century,17.0,231.0,110,3907,21.0,75,False,False,True,False,True,False,False
chevroelt chevelle malibu,16.0,250.0,105,3897,18.5,75,False,False,True,False,True,False,False
amc matador,15.0,258.0,110,3730,19.0,75,False,False,True,False,True,False,False
plymouth fury,18.0,225.0,95,3785,19.0,75,False,False,True,False,True,False,False
buick skyhawk,21.0,231.0,110,3039,15.0,75,False,False,True,False,True,False,False
chevrolet monza 2+2,20.0,262.0,110,3221,13.5,75,False,False,False,True,True,False,False
ford mustang ii,13.0,302.0,129,3169,12.0,75,False,False,False,True,True,False,False
toyota corolla,29.0,97.0,75,2171,16.0,75,True,False,False,False,False,False,True
ford pinto,23.0,140.0,83,2639,17.0,75,True,False,False,False,True,False,False
amc gremlin,20.0,232.0,100,2914,16.0,75,False,False,True,False,True,False,False
pontiac astro,23.0,140.0,78,2592,18.5,75,True,False,False,False,True,False,False
toyota corona,24.0,134.0,96,2702,13.5,75,True,False,False,False,False,False,True
volkswagen dasher,25.0,90.0,71,2223,16.5,75,True,False,False,False,False,True,False
datsun 710,24.0,119.0,97,2545,17.0,75,True,False,False,False,False,False,True
ford pinto,18.0,171.0,97,2984,14.5,75,False,False,True,False,True,False,False
volkswagen rabbit,29.0,90.0,70,1937,14.0,75,True,False,False,False,False,True,False
amc pacer,19.0,232.0,90,3211,17.0,75,False,False,True,False,True,False,False
audi 100ls,23.0,115.0,95,2694,15.0,75,True,False,False,False,False,True,False
peugeot 504,23.0,120.0,88,2957,17.0,75,True,False,False,False,False,True,False
volvo 244dl,22.0,121.0,98,2945,14.5,75,True,False,False,False,False,True,False
saab 99le,25.0,121.0,115,2671,13.5,75,True,False,False,False,False,True,False
honda civic cvcc,33.0,91.0,53,1795,17.5,75,True,False,False,False,False,False,True
fiat 131,28.0,107.0,86,2464,15.5,76,True,False,False,False,False,True,False
opel 1900,25.0,116.0,81,2220,16.9,76,True,False,False,False,False,True,False
capri ii,25.0,140.0,92,2572,14.9,76,True,False,False,False,True,False,False
dodge colt,26.0,98.0,79,2255,17.7,76,True,False,False,False,True,False,False
renault 12tl,27.0,101.0,83,2202,15.3,76,True,False,False,False,False,True,False
chevrolet chevelle malibu classic,17.5,305.0,140,4215,13.0,76,False,False,False,True,True,False,False
